S1,S2,S3,S4,S5,S6,S7,S8,OBSTACLE,ACTION
50,12.03,5.41,50,50,50,50,50,18.2,1
50,11.96,5.3,50,50,50,50,50,18.2,1
50,11.96,5.17,50,50,50,50,50,18.2,1
50,11.91,5.27,50,50,50,50,50,18.2,1
50,50,5.51,6.32,50,50,50,50,18.3,1
50,50,5.51,6.4,50,50,50,50,18.3,1
50,50,5.41,6.33,50,50,50,50,18.3,1
50,50,5.43,7.16,50,50,50,50,18.3,1
50,50,5.51,6.32,50,50,50,50,18.3,1
6.33,50,50,50,50,50,50,7.35,19.1,1
6.3,50,50,50,50,50,50,6.2,19.1,1
6.32,50,50,50,50,50,50,6.21,19.1,1
6.38,50,50,50,50,50,50,6.24,19.1,1
6.39,50,50,50,50,50,50,6.2,19.1,1
4.26,14.8,50,50,50,50,50,50,19.2,1
4.31,14.71,50,50,50,50,50,50,19.2,1
4.31,15.36,50,50,50,50,50,50,19.2,1
4.22,14.78,50,50,50,50,50,50,19.2,1
4.26,14.81,50,50,50,50,50,50,19.2,1
4.55,50,50,50,50,50,50,3.21,19.3,1
4.31,50,50,50,50,50,50,3.16,19.3,1
4.33,50,50,50,50,50,50,3.26,19.3,1
5.01,50,50,50,50,50,50,3.21,19.3,1
4.29,50,50,50,50,50,50,3.02,19.3,1
4.6,10.19,50,50,50,50,50,50,21.1,2
4.58,9.78,50,50,50,50,50,50,21.1,2
4.98,10.5,50,50,50,50,50,50,21.1,2
4.63,10.52,50,50,50,50,50,50,21.1,2
4.57,10.05,50,50,50,50,50,50,21.1,2
5.7,50,50,50,50,50,50,50,21.2,2
5.65,50,50,50,50,50,50,50,21.2,2
5.73,50,50,50,50,50,50,50,21.2,2
5.71,50,50,50,50,50,50,50,21.2,2
5.51,50,50,50,50,50,50,50,21.2,2
16.79,5.22,5.25,50,50,50,50,50,21.3,2
16.65,5.25,5.25,50,50,50,50,50,21.3,2
16.65,5.25,5.1,50,50,50,50,50,21.3,2
16.8,5.22,5.13,50,50,50,50,50,21.3,2
16.82,5.22,5.44,50,50,50,50,50,21.3,2
50,50,50,7.83,6.8,50,50,50,22.1,2
50,50,50,7.69,7.62,50,50,50,22.1,2
50,50,50,7.79,6.81,50,50,50,22.1,2
50,50,50,7.81,6.83,50,50,50,22.1,2
50,50,50,7.77,6.76,50,50,50,22.1,2
50,50,50,50,5.2,50,50,50,22.2,2
50,50,50,50,5.15,50,50,50,22.2,2
50,50,50,50,5.01,50,50,50,22.2,2
50,50,50,50,5.08,50,50,50,22.2,2
50,50,50,50,5.18,50,50,50,22.2,2
50,50,50,5.05,5.25,50,50,50,22.3,2
50,50,50,5.08,5.3,50,50,50,22.3,2
50,50,50,5.1,5.22,50,50,50,22.3,2
50,50,50,5.16,5.22,50,50,50,22.3,2
50,50,50,5.13,5.28,50,50,50,22.3,2
5.23,50,50,50,50,50,50,10.66,23.1,2
5.25,50,50,50,50,50,50,10.74,23.1,2
5.22,50,50,50,50,50,50,10.25,23.1,2
5.34,50,50,50,50,50,50,10.02,23.1,2
5.3,50,50,50,50,50,50,9.7,23.1,2
6.18,50,50,50,50,50,50,50,23.2,2
6.22,50,50,50,50,50,50,50,23.2,2
6.23,50,50,50,50,50,50,50,23.2,2
6.21,50,50,50,50,50,50,50,23.2,2
6.2,50,50,50,50,50,50,50,23.2,2
7,50,50,50,50,50,50,2.66,23.3,2
7.04,50,50,50,50,50,50,2.61,23.3,2
